你對台北國際電腦展有興趣嗎,非常有,有;對,完全沒有,還好;沒;不
你平常喜歡運動嗎,喜歡,喜歡;你怎麼知道;對,不喜歡,還好;沒;不;討厭
你想知道最近流行性疾病是什麼嗎,很想知道,有;好;想;要,不想知道,還好;沒;不
你有在關心選舉的消息嗎,非常關心,對;有;是;新;關心;你怎麼知道,一點都不關心,還好;沒;不
你有在關注NBA季後賽嗎,有,對;有;是;新;關注;你怎麼知道,沒有,還好;沒;不
你有在關注今年的金曲獎嗎,有,對;有;是;新;關注;你怎麼知道,沒有,還好;沒;不
你有在關注演藝圈的八卦嗎,有,對;有;是;新;關注;你怎麼知道,沒有,還好;沒;不
你知道台灣的邦交國又少了嗎,知道,對;是;知道;想;真的嗎,不知道,不;沒
你知道大谷翔平是誰嗎,當然知道,當然;知道,我不知道,不;沒;誰啊
對於新科技你想了解多少,非常多,非常;多;想,還好,還好;沒;不
平常會看中華職棒嗎,會看,會;對;是;偶爾,才不會,還好;沒;不
平常有在關心台股或房價嗎,非常關心,對;有;是;新;關心;你怎麼知道,完全不關心,還好;沒;不
平常有投資理財的習慣嗎,有,對;有;是;你怎麼知道,沒有,還好;沒;不
想了解政壇最近的動向嗎,想,有;好;想;要,不想,還好;沒;不
想擁有更健康的身體嗎,想要,有;好;想;要,我已經夠健康,還好;沒;不;我已經夠健康
想獲得讓身體更健康的知識嗎,好想要,有;好;想;要,不要,還好;沒;不;討厭
想知道藝人平常都在做什麼嗎,想知道,有;好;想;要,不想知道,還好;沒;不;討厭
你喜歡大自然嗎,喜歡,喜歡;你怎麼知道;對;當然,不喜歡,還好;沒;不;討厭
你喜歡尋求刺激嗎,喜歡,喜歡;你怎麼知道;對;當然,還好,還好;沒;不;討厭
你喜歡球類運動嗎,喜歡,喜歡;你怎麼知道;對;當然,還好,還好;沒;不;討厭
你喜歡看書嗎,喜歡,喜歡;你怎麼知道;對;當然,不喜歡,還好;沒;不;討厭
你喜歡花草樹木嗎,喜歡,喜歡;你怎麼知道;對;當然,還好,還好;沒;不;討厭
你家裡有小朋友嗎,有,有;對;是,沒有,沒;不
你怕曬太陽嗎,怕,怕;對;是;超,不怕,不怕;沒;還好
你怕熱嗎,超怕,怕;對;是;超,我耐熱,不怕;沒;還好;耐熱
你想去安靜的地方嗎,想,好;想;要;去;告訴,無所謂,無所謂;還好;不;沒
你想要動一動嗎,要,好;想;要;動;告訴,先不要,無所謂;還好;不;沒
你想逛個街嗎,想,好;想;要;去;告訴,不想,無所謂;還好;不;沒
你是不是很久沒運動了,被發現了,被發現了;對;是,才不是,沒;不
你有關注今年的金馬獎嗎,有,對;有;是;新;關注;你怎麼知道,沒有,還好;沒;不
你知道梵谷最有名的作品是什麼嗎,知道,對;是;知道,不太清楚,不;沒;什麼
你覺得你是文青嗎,看不出來嗎,對;是;看不出來嗎,不是欸,還好;沒;不
想成為下一個巨石強森嗎,想,好;想;要;告訴,不要,無所謂;還好;不;沒
想知道最近開什麼花嗎,想,好;想;要;告訴,沒興趣,無所謂;還好;不;沒
想要成為知識王嗎,我已經是了,我已經是了;無所謂;還好;不;沒,好想好想,好;想;要
運動後覺得心跳加速、冒冷汗、發抖、視線模糊，然後還有強烈的飢餓感，是怎麼了?,低血糖,低;血糖;糖,低血壓,低;血壓
低血糖發生的時候該怎麼辦,喝糖水,喝糖水;糖水,多喝水,多喝水;喝水
十五克的糖大概等同於多少杯養樂多,一杯,一杯,兩杯,兩杯
愛吃甜就會得糖尿病,不是,錯;不;沒,是,是;對;會
打胰島素就要洗腎,不是,錯;不;沒,是,是;對;會
吃藥久了就會洗腎,不是,錯;不;沒,是,是;對;會
沒有症狀可以不用吃藥,錯,錯;不;沒,對,是;對;會
糖尿病一定會截肢,錯,錯;不;沒,對,是;對;會
糖尿病是由於哪個器官功能退化所導致?,胰臟,姨丈;胰臟,腎臟,腎臟
糖尿病的控制只要按時吃藥就好了嗎?,運動和飲食也很重要,運動和飲食也很重要;運動;飲食,只要吃藥就可以控制得很好了,只要吃藥;吃藥
甚麼時候容易發生高血糖急症?,停止使用降血糖的藥,停止使用;禁止;停止;降血糖;藥,空腹運動,空腹;運動
要怎麼預防高血糖急症?,定期監測血糖，按時吃藥,定期監測;血糖;按時吃藥;吃藥,隨身帶糖果在身上,帶糖果;糖果
高血糖急症會有甚麼症狀,噁心嘔吐、頻尿、脫水,噁心;嘔吐;頻尿;脫水,飢餓、頭暈,飢餓;頭暈
高血糖急症發生該怎麼辦,立即就醫,就醫,喝一小杯養樂多,養樂多
你對人工智慧了解多少,非常多,很;非常;超;多;知道,不太認識,不;沒
昨晚睡得好嗎?,好,好;對,不好,不;沒
那你昨天的睡眠品質如何,差,差;不,很差,很
睡前是不是有喝含咖啡因的飲品,是,是;對;沒錯;有;你怎麼知道;發現,否,不;沒
睡前是不是有喝含酒精的飲品,是,是;對;沒錯;有;你怎麼知道;發現,否,不;沒
睡前是不是有滑手機、看電腦,是,是;對;沒錯;有;你怎麼知道;發現,否,不;沒

